t,value
1507840562,256311296
1507840563,256311296
1507840564,256311296
1507840565,256311296
1507840566,256311296
1507840567,256311296
1507840568,256311296
1507840569,256311296
1507840570,256311296
1507840571,256311296
1507840572,256311296
1507840573,256311296
1507840574,256311296
1507840575,256311296
1507840576,256311296
1507840577,256311296
1507840578,256311296
1507840579,256311296
1507840580,256311296
1507840581,256311296
1507840582,256311296
1507840583,256311296
1507840584,256311296
1507840585,256311296
1507840586,256311296
