t,value
1507840562,716177408
1507840563,716177408
1507840564,716177408
1507840565,716177408
1507840566,716177408
1507840567,716177408
1507840568,716177408
1507840569,716177408
1507840570,716177408
1507840571,716177408
1507840572,716177408
1507840573,716177408
1507840574,716177408
1507840575,716177408
1507840576,716177408
1507840577,716177408
1507840578,716177408
1507840579,716177408
1507840580,716177408
1507840581,716177408
1507840582,716177408
1507840583,716177408
1507840584,716177408
1507840585,716177408
1507840586,716177408
